iter	CrossEntropy
0	0.4130617153
1	0.3867321051
2	0.3850494414
3	0.3801162762
4	0.3744496301
5	0.3547747638
6	0.3493568875
7	0.3293338002
8	0.3291188882
9	0.3275047593
10	0.3249190499
11	0.3205925282
12	0.3200629657
13	0.3181720596
14	0.3128872868
15	0.3103801276
16	0.3094749015
17	0.3076470209
18	0.3047068851
19	0.3027038761
20	0.2998709879
21	0.2985740497
22	0.2967257004
23	0.2957583653
24	0.2946695099
25	0.2937254758
26	0.2913304521
27	0.2894045999
28	0.2882273315
29	0.2856026465
30	0.2839972218
31	0.2839828731
32	0.2823492006
33	0.2796867847
34	0.2786809683
35	0.2775355097
36	0.2771495754
37	0.2766240023
38	0.2753352213
39	0.2737663957
40	0.27319386
41	0.2726907701
42	0.271966688
43	0.2713985633
44	0.2706506371
45	0.2695899589
46	0.2688548382
47	0.2683736779
48	0.2682958298
49	0.2680706783
50	0.2672858735
51	0.2667943883
52	0.2665245312
53	0.2661399188
54	0.26568042
55	0.265171878
56	0.2647016801
57	0.2643916272
58	0.2642492907
59	0.2634543892
60	0.2622830648
61	0.2620273482
62	0.2614928944
63	0.26112875
64	0.2577146375
65	0.2573068052
66	0.256744825
67	0.2562091232
68	0.2558509319
69	0.2556550253
70	0.2547300209
71	0.2543004638
72	0.2540499922
73	0.2533187826
74	0.2530057085
75	0.2529254017
76	0.2524919297
77	0.2514704317
78	0.2510819846
79	0.2509671482
80	0.2506810357
81	0.250630102
82	0.2501374306
83	0.2499900176
84	0.2497395842
85	0.2494712915
86	0.2493055489
87	0.2491305673
88	0.2488021651
89	0.2485611447
90	0.2484578927
91	0.2484135654
92	0.2480445709
93	0.2475953357
94	0.2474280512
95	0.2473794662
96	0.2471342917
97	0.2470596249
98	0.2469919506
99	0.2469115838
100	0.2465507203
101	0.2462157681
102	0.2460518488
103	0.2458328055
104	0.2454517445
105	0.2453356031
106	0.2452921154
107	0.2450060534
108	0.2448577122
109	0.2447057652
110	0.2446314007
111	0.2445958401
112	0.2442831211
113	0.2439052294
114	0.243834314
115	0.2437559009
116	0.243676592
117	0.2435935967
118	0.243451237
119	0.2432404638
120	0.2430674403
121	0.2429492595
122	0.2426800769
123	0.2422744608
124	0.2420131211
125	0.2418732457
126	0.2416892911
127	0.2416107451
128	0.241277595
129	0.2410646114
130	0.2409910969
131	0.2405516424
132	0.2404662965
133	0.2403274442
134	0.2400233412
135	0.2399261585
136	0.2398307935
137	0.2393946671
138	0.2392702777
139	0.23908571
140	0.2389164758
141	0.238759977
142	0.2384277254
143	0.2383613026
144	0.2383200667
145	0.23826737
146	0.2382543904
147	0.2381242393
