iter	Passed	Remaining
0	0	475
1	0	471
2	1	450
3	1	446
4	2	444
5	2	443
6	3	440
7	3	442
8	3	437
9	4	433
10	4	429
11	5	426
12	5	429
13	6	427
14	6	426
15	6	427
16	7	425
17	7	427
18	8	424
19	9	458
20	9	456
21	10	453
22	10	451
23	11	449
24	11	445
25	11	442
26	12	440
27	12	439
28	13	437
29	13	437
30	13	434
31	14	431
32	14	430
33	15	429
34	15	440
35	16	438
36	16	435
37	17	434
38	17	432
39	17	431
40	18	430
41	18	428
42	19	426
43	19	425
44	19	424
45	20	422
46	20	420
47	21	420
48	21	419
49	22	420
50	22	420
51	22	418
52	23	416
53	23	415
54	24	414
55	24	413
56	25	416
57	25	415
58	25	413
59	26	412
60	26	411
61	27	410
62	27	409
63	27	408
64	28	407
65	28	406
66	29	405
67	29	404
68	29	403
69	30	404
70	30	404
71	31	402
72	31	401
73	32	401
74	32	402
75	33	401
76	33	400
77	33	400
78	34	399
79	34	397
80	34	396
81	35	395
82	35	394
83	36	393
84	36	393
85	38	405
86	38	404
87	40	417
88	40	419
89	41	422
90	42	421
91	42	421
92	43	420
93	43	419
94	43	419
95	44	419
96	44	418
97	45	423
98	46	421
99	46	420
100	47	420
101	47	419
102	48	418
103	48	417
104	48	416
105	49	415
106	49	414
107	50	413
108	50	412
109	50	410
110	51	415
111	52	419
112	53	418
113	53	418
114	54	417
115	54	416
116	55	415
117	56	419
118	56	418
119	56	417
120	57	416
121	57	415
122	58	415
123	58	414
124	59	413
125	59	414
126	60	413
127	61	418
128	62	420
129	62	420
130	64	424
131	64	423
132	64	422
133	65	424
134	66	424
135	67	428
136	68	428
137	68	428
138	69	427
139	69	426
140	69	426
141	70	425
142	70	424
143	71	423
144	71	422
145	72	421
146	72	421
147	72	420
148	73	419
149	73	418
150	74	421
151	76	424
152	76	423
153	77	423
154	77	424
155	78	423
156	78	422
157	79	422
158	79	421
159	80	420
160	80	419
161	80	418
162	81	417
163	81	416
164	82	415
165	82	414
166	82	413
167	83	413
168	83	412
169	84	411
170	84	410
171	85	409
172	85	409
173	86	408
174	86	407
175	86	406
176	87	405
177	88	409
178	89	408
179	89	408
180	90	407
181	90	408
182	91	407
183	92	408
184	92	407
185	93	407
186	93	406
187	93	405
188	95	408
189	96	413
190	97	412
191	97	411
192	98	410
193	99	413
194	100	414
195	100	413
196	101	412
197	101	411
198	102	410
199	102	409
200	102	408
201	103	407
202	103	407
203	104	406
204	104	405
205	104	404
206	105	403
207	105	402
208	107	405
209	108	408
210	108	407
211	109	406
212	109	405
213	110	404
214	110	403
215	110	402
216	113	410
217	114	409
218	114	409
219	116	411
220	116	410
221	116	409
222	117	408
223	117	407
224	118	406
225	118	405
226	118	404
227	119	403
228	119	402
229	120	401
230	120	401
231	120	399
232	121	398
233	121	397
234	121	397
235	122	396
236	122	395
237	123	394
238	123	393
239	124	392
240	125	395
241	126	396
242	127	397
243	128	399
244	130	401
245	131	402
246	132	403
247	132	402
248	133	402
249	134	403
250	134	402
251	135	401
252	136	403
253	137	405
254	138	404
255	138	403
256	139	402
257	139	402
258	140	401
259	140	400
260	141	399
261	141	398
262	141	397
263	146	407
264	147	407
265	147	406
266	147	405
267	148	404
268	148	403
269	149	402
270	149	402
271	150	401
272	150	400
273	150	399
274	151	398
275	151	398
276	152	397
277	152	396
278	152	395
279	153	394
280	154	395
281	155	396
282	156	396
283	156	395
284	157	394
285	157	393
286	158	394
287	159	394
288	160	394
289	160	393
290	161	392
291	161	391
292	162	392
293	163	392
294	163	391
295	164	390
296	165	390
297	166	393
298	167	393
299	168	392
300	168	391
301	169	391
302	170	392
303	171	392
304	171	391
305	172	391
306	173	392
307	174	392
308	175	392
309	176	391
310	176	391
311	177	390
312	177	390
313	178	389
314	178	389
315	179	388
316	180	387
317	180	387
318	181	386
319	181	386
320	182	385
321	182	384
322	183	384
323	183	383
324	184	382
325	184	382
326	185	382
327	186	381
328	187	381
329	187	380
330	187	379
331	188	379
332	189	379
333	189	378
334	190	377
335	190	377
336	191	377
337	192	376
338	192	375
339	193	375
340	194	375
341	194	374
342	195	373
343	195	373
344	196	372
345	196	371
346	197	370
347	197	370
348	198	369
349	198	368
350	199	368
351	199	367
352	200	366
353	200	365
354	200	365
355	201	364
356	201	363
357	202	362
358	202	362
359	203	361
360	203	360
361	204	360
362	204	359
363	205	358
364	206	359
365	207	358
366	207	357
367	208	357
368	208	356
369	209	356
370	209	355
371	210	355
372	210	354
373	211	353
374	211	353
375	212	352
376	212	351
377	213	351
378	213	350
379	214	349
380	214	348
381	215	348
382	215	347
383	216	346
384	216	345
385	217	345
386	217	344
387	217	343
388	218	343
389	218	342
390	219	341
391	219	341
392	220	340
393	221	340
394	221	339
395	222	338
396	222	338
397	223	337
398	223	336
399	223	335
400	224	335
401	225	334
402	225	334
403	225	333
404	226	332
405	227	332
406	227	331
407	227	330
408	228	329
409	228	329
410	229	328
411	229	327
412	230	327
413	230	326
414	231	326
415	231	325
416	232	324
417	232	324
418	233	323
419	233	322
420	234	322
421	234	321
422	235	320
423	235	320
424	236	319
425	236	318
426	237	318
427	237	317
428	238	316
429	238	316
430	239	315
431	239	315
432	240	314
433	240	313
434	241	313
435	241	312
436	242	311
437	242	311
438	242	310
439	243	309
440	243	309
441	244	308
442	244	307
443	245	306
444	245	306
445	246	305
446	246	305
447	247	304
448	247	303
449	248	303
450	248	302
451	249	302
452	249	301
453	250	300
454	250	300
455	251	299
456	251	298
457	251	298
458	252	297
459	252	296
460	253	296
461	253	295
462	254	295
463	254	294
464	255	293
465	255	293
466	256	292
467	256	291
468	257	291
469	257	290
470	258	290
471	258	289
472	259	288
473	259	288
474	260	287
475	260	287
476	261	286
477	261	285
478	262	285
479	262	284
480	263	284
481	263	283
482	264	282
483	264	282
484	265	281
485	265	281
486	266	280
487	266	279
488	267	279
489	267	278
490	268	278
491	269	277
492	269	277
493	270	276
494	270	275
495	271	275
496	271	274
497	272	274
498	272	273
499	273	273
500	273	272
501	274	272
502	274	271
503	275	270
504	275	270
505	276	269
506	276	269
507	277	268
508	277	268
509	278	267
510	279	267
511	279	266
512	280	265
513	280	265
514	281	264
515	281	264
516	282	263
517	282	263
518	283	262
519	283	261
520	284	261
521	284	260
522	285	260
523	285	259
524	286	258
525	286	258
526	286	257
527	287	256
528	287	256
529	288	255
530	288	255
531	289	254
532	289	253
533	290	253
534	290	252
535	290	251
536	291	251
537	292	250
538	292	250
539	293	249
540	293	249
541	294	248
542	295	248
543	295	247
